numRooms,transError.mean.mean
79,0.616674277778
44,0.513207166667
43,0.511799
27,0.347489733333
23,0.178033842105
10,0.111519571429
12,0.135674892857
48,0.567853258065
47,0.483538
25,0.364766782609
22,0.266804521739
15,0.136014027027
17,0.1602634
15,0.11330008
16,0.120517266667
16,0.168592444444
16,0.1753349
16,0.250973828571
25,0.255138206897
34,0.275744352941
50,0.572332
22,0.401876478261
45,0.667381558824
26,0.601016714286
29,0.428635214286
34,0.534300857143
20,0.392818764706
22,0.511895521739
20,0.3828526
31,0.480142294118
39,0.200632047619
38,0.214672086957
35,0.310588818182
25,0.63580396
65,0.357241074074
46,0.322165133333
49,0.302912058824
52,0.44758759375
13,0.0879599565217
40,0.224303125
33,0.388622
17,0.297397730769
42,0.663971375
23,0.551063954545
21,0.31300125
46,0.4318884
35,0.465919793103
40,0.471419
27,0.317696542857
19,0.366169390244
17,0.301987178571
27,0.381142583333
21,0.2053401
20,0.189486166667
23,0.273704222222
39,0.42013416
24,0.323464547619
25,0.429869033333
20,0.367336428571
30,0.283932129032
23,0.19405875
16,0.191225219512
19,0.285231925926
17,0.3031
35,0.475740875
21,0.236201074074
30,0.54542925
16,0.154262137931
37,0.423788730769
36,0.337108057143
16,0.189719777778
24,0.29107
19,0.17891308
31,0.367190842105

5-Fold RMSE:,0.118794335527,0.0879671778689,0.0752723410203,0.170371782873,0.170371782873
Average 5-Fold RMSE:,0.117571009924

5-Fold rsquared:,0.326052787966,0.295441866862,-0.137580011721,-0.0512413861842,-0.0512413861842
Average 5-Fold rsquared:,0.22428071644
