numRooms,transError.std.std
43,0.226872799473
27,0.0888341978949
23,0.0536568207547
10,0.0531756045959
12,0.0388866547706
48,0.156091446153
47,0.204774691356
25,0.189473879231
22,0.0429963941514
15,0.0500640527086
17,0.160692173355
15,0.0364422115207
16,0.115579807708
16,0.0365550743802
16,0.0491585794691
16,0.0890782760547
25,0.0933187599678
34,0.138087316178
50,0.258353516079
22,0.0779121061829
45,0.259494989064
26,0.214149069586
29,0.160472378798
34,0.578481679757
20,0.14193715639
22,0.390698889866
20,0.145785206544
31,0.196101691352
39,0.0540020208264
38,0.0639730578518
35,0.0642383791162
25,0.258741211908
65,0.131888311652
46,0.126072926139
49,0.124697260981
52,0.192108034661
13,0.0517409309399
40,0.150426578073
33,0.141387393986
17,0.0819226964463
42,0.284322556163
23,0.268748777682
21,0.0698040570684
46,0.0777311359681
35,0.221015525555
40,0.170190402896
27,0.10685390071
19,0.237490765274
17,0.110170635227
27,0.172007018126
21,0.0621497895481
20,0.110615023941
23,0.126944549297
39,0.109794391941
24,0.0809823194632
25,0.12386252947
20,0.0966363792344
30,0.064450068138
23,0.0692099506632
16,0.075847820682
19,0.113532147819
17,0.129796983767
35,0.192206970562
21,0.105334107197
30,0.145524364411
16,0.0596299714663
37,0.130217601143
36,0.0974594238893
16,0.0743403423368
44,0.167837658831
24,0.168709916846
19,0.0562958637779
31,0.116143743091
79,0.206076064429

5-Fold RMSE:,0.125016225259,0.0725964347663,0.0838628210514,0.0516579328041,0.0516579328041
Average 5-Fold RMSE:,0.07838449875

5-Fold rsquared:,0.0207274633614,0.204035813386,0.0202511359172,0.20364091643,0.20364091643
Average 5-Fold rsquared:,0.117263765095
